,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
0,Ruturaj Gaikwad,c Rana b Yadav,0,4,5,0,0,0.00,,
1,,,,,,,,,,
2,Devon Conway,c SS Iyer b Yadav,3,8,25,0,0,37.50,,
3,,,,,,,,,,
4,Robin Uthappa,st †Jackson b Varun,28,21,37,2,2,133.33,,
5,,,,,,,,,,
6,Ambati Rayudu,run out (SS Iyer/Narine),15,17,22,1,1,88.23,,
7,,,,,,,,,,
8,Ravindra Jadeja (c),not out,26,28,63,0,1,92.85,,
9,Shivam Dube,c Narine b Russell,3,6,11,0,0,50.00,,
10,,,,,,,,,,
11,MS Dhoni †,not out,50,38,47,7,1,131.57,,
12,Extras,"(nb 2, w 4)",6,,,,,,,
13,TOTAL,20 Ov (RR: 6.55),131/5,,,,,,,
14,"Did not bat: Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Did not bat: Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Did not bat: Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Did not bat: Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Did not bat: Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Did not bat: Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Did not bat: Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Did not bat: Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Did not bat: Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande",
15,"Fall of wickets: 1-2 (Ruturaj Gaikwad, 0.3 ov), 2-28 (Devon Conway, 4.1 ov), 3-49 (Robin Uthappa, 7.5 ov), 4-52 (Ambati Rayudu, 8.4 ov), 5-61 (Shivam Dube, 10.5 ov)","Fall of wickets: 1-2 (Ruturaj Gaikwad, 0.3 ov), 2-28 (Devon Conway, 4.1 ov), 3-49 (Robin Uthappa, 7.5 ov), 4-52 (Ambati Rayudu, 8.4 ov), 5-61 (Shivam Dube, 10.5 ov)","Fall of wickets: 1-2 (Ruturaj Gaikwad, 0.3 ov), 2-28 (Devon Conway, 4.1 ov), 3-49 (Robin Uthappa, 7.5 ov), 4-52 (Ambati Rayudu, 8.4 ov), 5-61 (Shivam Dube, 10.5 ov)","Fall of wickets: 1-2 (Ruturaj Gaikwad, 0.3 ov), 2-28 (Devon Conway, 4.1 ov), 3-49 (Robin Uthappa, 7.5 ov), 4-52 (Ambati Rayudu, 8.4 ov), 5-61 (Shivam Dube, 10.5 ov)","Fall of wickets: 1-2 (Ruturaj Gaikwad, 0.3 ov), 2-28 (Devon Conway, 4.1 ov), 3-49 (Robin Uthappa, 7.5 ov), 4-52 (Ambati Rayudu, 8.4 ov), 5-61 (Shivam Dube, 10.5 ov)","Fall of wickets: 1-2 (Ruturaj Gaikwad, 0.3 ov), 2-28 (Devon Conway, 4.1 ov), 3-49 (Robin Uthappa, 7.5 ov), 4-52 (Ambati Rayudu, 8.4 ov), 5-61 (Shivam Dube, 10.5 ov)","Fall of wickets: 1-2 (Ruturaj Gaikwad, 0.3 ov), 2-28 (Devon Conway, 4.1 ov), 3-49 (Robin Uthappa, 7.5 ov), 4-52 (Ambati Rayudu, 8.4 ov), 5-61 (Shivam Dube, 10.5 ov)","Fall of wickets: 1-2 (Ruturaj Gaikwad, 0.3 ov), 2-28 (Devon Conway, 4.1 ov), 3-49 (Robin Uthappa, 7.5 ov), 4-52 (Ambati Rayudu, 8.4 ov), 5-61 (Shivam Dube, 10.5 ov)","Fall of wickets: 1-2 (Ruturaj Gaikwad, 0.3 ov), 2-28 (Devon Conway, 4.1 ov), 3-49 (Robin Uthappa, 7.5 ov), 4-52 (Ambati Rayudu, 8.4 ov), 5-61 (Shivam Dube, 10.5 ov)",
0,Ajinkya Rahane,c Jadeja b Santner,44,34,56,6,1,129.41,,
1,,,,,,,,,,
2,Venkatesh Iyer,c †Dhoni b Bravo,16,16,31,2,0,100.00,,
3,,,,,,,,,,
4,Nitish Rana,c Rayudu b Bravo,21,17,19,2,1,123.52,,
5,,,,,,,,,,
6,Shreyas Iyer (c),not out,20,19,36,1,0,105.26,,
7,Sam Billings,c Deshpande b Bravo,25,22,25,1,1,113.63,,
8,,,,,,,,,,
9,Sheldon Jackson †,not out,3,3,6,0,0,100.00,,
10,Extras,(b 4),4,,,,,,,
11,TOTAL,18.3 Ov (RR: 7.18),133/4,,,,,,,
12,"Did not bat: Andre Russell, Sunil Narine, Umesh Yadav, Shivam Mavi, Varun Chakravarthy","Did not bat: Andre Russell, Sunil Narine, Umesh Yadav, Shivam Mavi, Varun Chakravarthy","Did not bat: Andre Russell, Sunil Narine, Umesh Yadav, Shivam Mavi, Varun Chakravarthy","Did not bat: Andre Russell, Sunil Narine, Umesh Yadav, Shivam Mavi, Varun Chakravarthy","Did not bat: Andre Russell, Sunil Narine, Umesh Yadav, Shivam Mavi, Varun Chakravarthy","Did not bat: Andre Russell, Sunil Narine, Umesh Yadav, Shivam Mavi, Varun Chakravarthy","Did not bat: Andre Russell, Sunil Narine, Umesh Yadav, Shivam Mavi, Varun Chakravarthy","Did not bat: Andre Russell, Sunil Narine, Umesh Yadav, Shivam Mavi, Varun Chakravarthy","Did not bat: Andre Russell, Sunil Narine, Umesh Yadav, Shivam Mavi, Varun Chakravarthy",
13,"Fall of wickets: 1-43 (Venkatesh Iyer, 6.2 ov), 2-76 (Nitish Rana, 9.6 ov), 3-87 (Ajinkya Rahane, 11.4 ov), 4-123 (Sam Billings, 17.3 ov)","Fall of wickets: 1-43 (Venkatesh Iyer, 6.2 ov), 2-76 (Nitish Rana, 9.6 ov), 3-87 (Ajinkya Rahane, 11.4 ov), 4-123 (Sam Billings, 17.3 ov)","Fall of wickets: 1-43 (Venkatesh Iyer, 6.2 ov), 2-76 (Nitish Rana, 9.6 ov), 3-87 (Ajinkya Rahane, 11.4 ov), 4-123 (Sam Billings, 17.3 ov)","Fall of wickets: 1-43 (Venkatesh Iyer, 6.2 ov), 2-76 (Nitish Rana, 9.6 ov), 3-87 (Ajinkya Rahane, 11.4 ov), 4-123 (Sam Billings, 17.3 ov)","Fall of wickets: 1-43 (Venkatesh Iyer, 6.2 ov), 2-76 (Nitish Rana, 9.6 ov), 3-87 (Ajinkya Rahane, 11.4 ov), 4-123 (Sam Billings, 17.3 ov)","Fall of wickets: 1-43 (Venkatesh Iyer, 6.2 ov), 2-76 (Nitish Rana, 9.6 ov), 3-87 (Ajinkya Rahane, 11.4 ov), 4-123 (Sam Billings, 17.3 ov)","Fall of wickets: 1-43 (Venkatesh Iyer, 6.2 ov), 2-76 (Nitish Rana, 9.6 ov), 3-87 (Ajinkya Rahane, 11.4 ov), 4-123 (Sam Billings, 17.3 ov)","Fall of wickets: 1-43 (Venkatesh Iyer, 6.2 ov), 2-76 (Nitish Rana, 9.6 ov), 3-87 (Ajinkya Rahane, 11.4 ov), 4-123 (Sam Billings, 17.3 ov)","Fall of wickets: 1-43 (Venkatesh Iyer, 6.2 ov), 2-76 (Nitish Rana, 9.6 ov), 3-87 (Ajinkya Rahane, 11.4 ov), 4-123 (Sam Billings, 17.3 ov)",
0,Rohit Sharma (c),c Powell b Kuldeep Yadav,41,32,42,4,2,128.12,,
1,,,,,,,,,,
2,Ishan Kishan †,not out,81,48,99,11,2,168.75,,
3,Anmolpreet Singh,c Lalit Yadav b Kuldeep Yadav,8,9,10,0,0,88.88,,
4,,,,,,,,,,
5,Tilak Varma,c Shaw b Ahmed,22,15,18,3,0,146.66,,
6,,,,,,,,,,
7,Kieron Pollard,c Seifert b Kuldeep Yadav,3,6,8,0,0,50.00,,
8,,,,,,,,,,
9,Tim David,c Mandeep Singh b Ahmed,12,8,17,0,1,150.00,,
10,,,,,,,,,,
11,Daniel Sams,not out,7,2,6,0,1,350.00,,
12,Extras,"(lb 1, w 2)",3,,,,,,,
13,TOTAL,20 Ov (RR: 8.85),177/5,,,,,,,
14,"Did not bat: Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi","Did not bat: Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",
