,Batsman,Status,Runs,Balls,Fours,Sixes,Out
0,Ruturaj Gaikwad,c Rana b Yadav,0,4,0,0,True
2,Devon Conway,c SS Iyer b Yadav,3,8,0,0,True
4,Robin Uthappa,st †Jackson b Varun,28,21,2,2,True
6,Ambati Rayudu,run out (SS Iyer/Narine),15,17,1,1,True
8,Ravindra Jadeja,not out,26,28,0,1,False
9,Shivam Dube,c Narine b Russell,3,6,0,0,True
11,MS Dhoni,not out,50,38,7,1,False
16,Ajinkya Rahane,c Jadeja b Santner,44,34,6,1,True
18,Venkatesh Iyer,c †Dhoni b Bravo,16,16,2,0,True
20,Nitish Rana,c Rayudu b Bravo,21,17,2,1,True
22,Shreyas Iyer,not out,20,19,1,0,False
23,Sam Billings,c Deshpande b Bravo,25,22,1,1,True
25,Sheldon Jackson,not out,3,3,0,0,False
30,Rohit Sharma,c Powell b Kuldeep Yadav,41,32,4,2,True
32,Ishan Kishan,not out,81,48,11,2,False
33,Anmolpreet Singh,c Lalit Yadav b Kuldeep Yadav,8,9,0,0,True
35,Tilak Varma,c Shaw b Ahmed,22,15,3,0,True
37,Kieron Pollard,c Seifert b Kuldeep Yadav,3,6,0,0,True
39,Tim David,c Mandeep Singh b Ahmed,12,8,0,1,True
41,Daniel Sams,not out,7,2,0,1,False
46,Prithvi Shaw,c †Ishan Kishan b Basil Thampi,38,24,4,2,True
48,Tim Seifert,b Ashwin,21,14,4,0,True
50,Mandeep Singh,c Tilak Varma b Ashwin,0,2,0,0,True
52,Rishabh Pant,c David b Mills,1,2,0,0,True
54,Lalit Yadav,not out,48,38,4,2,False
55,Rovman Powell,c Sams b Basil Thampi,0,2,0,0,True
57,Shardul Thakur,c Sharma b Basil Thampi,22,11,4,0,True
59,Axar Patel,not out,38,17,2,3,False
64,Faf du Plessis,c Shahrukh Khan b Arshdeep Singh,88,57,3,7,True
66,Anuj Rawat,b Chahar,21,20,2,1,True
68,Virat Kohli,not out,41,29,1,2,False
69,Dinesh Karthik,not out,32,14,3,3,False
74,Mayank Agarwal,c Shahbaz Ahmed b de Silva,32,24,2,2,True
76,Shikhar Dhawan,c Anuj Rawat b Patel,43,29,5,1,True
78,Bhanuka Rajapaksa,c Shahbaz Ahmed b Mohammed Siraj,43,22,2,4,True
80,Liam Livingstone,c Anuj Rawat b Akash Deep,19,10,0,2,True
82,Raj Bawa,lbw b Mohammed Siraj,0,1,0,0,True
84,M Shahrukh Khan,not out,24,20,1,2,False
85,Odean Smith,not out,25,8,1,3,False
90,KL Rahul,c †Wade b Mohammed Shami,0,1,0,0,True
92,Quinton de Kock,b Mohammed Shami,7,9,1,0,True
94,Evin Lewis,c Shubman Gill b Aaron,10,9,2,0,True
96,Manish Pandey,b Mohammed Shami,6,5,1,0,True
98,Deepak Hooda,lbw b Rashid Khan,55,41,6,2,True
100,Ayush Badoni,c Pandya b Aaron,54,41,4,3,True
102,Krunal Pandya,not out,21,13,3,0,False
103,Dushmantha Chameera,not out,1,1,0,0,False
108,Shubman Gill,c Hooda b Chameera,0,3,0,0,True
110,Matthew Wade,b Hooda,30,29,4,0,True
112,Vijay Shankar,b Chameera,4,6,0,0,True
114,Hardik Pandya,c Pandey b Pandya,33,28,5,1,True
116,David Miller,c Rahul b Avesh Khan,30,21,1,2,True
118,Rahul Tewatia,not out,40,24,5,2,False
119,Abhinav Manohar,not out,15,7,3,0,False
124,Jos Buttler,c †Pooran b Umran Malik,35,28,3,3,True
126,Yashasvi Jaiswal,c Markram b Shepherd,20,16,2,1,True
128,Sanju Samson,c Abdul Samad b Kumar,55,27,3,5,True
130,Devdutt Padikkal,b Umran Malik,41,29,4,2,True
132,Shimron Hetmyer,b Natarajan,32,13,2,3,True
134,Riyan Parag,c †Pooran b Natarajan,12,9,2,0,True
136,Nathan Coulter-Nile,not out,1,2,0,0,False
141,Kane Williamson,c Padikkal b Prasidh Krishna,2,7,0,0,True
143,Abhishek Sharma,c Hetmyer b Chahal,9,19,1,0,True
145,Rahul Tripathi,c †Samson b Prasidh Krishna,0,3,0,0,True
147,Nicholas Pooran,lbw b Boult,0,9,0,0,True
149,Aiden Markram,not out,57,41,5,2,False
150,Abdul Samad,c Parag b Chahal,4,6,0,0,True
152,Romario Shepherd,b Chahal,24,18,0,2,True
154,Washington Sundar,c Hetmyer b Boult,40,14,5,2,True
156,Bhuvneshwar Kumar,not out,3,4,0,0,False
161,Ajinkya Rahane,c Shahbaz Ahmed b Mohammed Siraj,9,10,1,0,True
163,Venkatesh Iyer,c & b Akash Deep,10,14,1,0,True
165,Shreyas Iyer,c du Plessis b de Silva,13,10,2,0,True
167,Nitish Rana,c Willey b Akash Deep,10,5,1,1,True
169,Sunil Narine,c Akash Deep b de Silva,12,8,1,1,True
171,Sam Billings,c Kohli b Patel,14,15,0,1,True
173,Sheldon Jackson,b de Silva,0,1,0,0,True
175,Andre Russell,c †Karthik b Patel,25,18,1,3,True
177,Tim Southee,c du Plessis b de Silva,1,5,0,0,True
179,Umesh Yadav,b Akash Deep,18,12,2,1,True
181,Varun Chakravarthy,not out,10,16,2,0,False
185,Faf du Plessis,c Rahane b Southee,5,4,1,0,True
187,Anuj Rawat,c †Jackson b Yadav,0,2,0,0,True
189,Virat Kohli,c †Jackson b Yadav,12,7,2,0,True
191,David Willey,c Rana b Narine,18,28,3,0,True
193,Sherfane Rutherford,c †Jackson b Southee,28,40,1,1,True
195,Shahbaz Ahmed,st †Jackson b Varun,27,20,0,3,True
197,Dinesh Karthik,not out,14,7,1,1,False
198,Wanindu Hasaranga de Silva,c Russell b Southee,4,3,1,0,True
200,Harshal Patel,not out,10,6,2,0,False
